id,name,url,price
No.,Product,Link,Price
1,Fresh Fri Vegetable Oil 5L,https://naivas.onlinehttps://naivas.online/fresh-fri-vegetable-oil-5l,1600
2,Avena Vegetable Oil 5L,https://naivas.onlinehttps://naivas.online/avena-vegetable-oil-5l,1610
3,Rina Vegetable Oil 5L,https://naivas.onlinehttps://naivas.online/rina-vegetable-oil-5l,1855
4,Chipsy Plus 3 Cooking Fat Pure Yellow 1Kg,https://naivas.onlinehttps://naivas.online/chipsy-plus-3-cooking-fat-pure-yellow-1kg,380
5,Chipsy Plus 3 Cooking Fat Pure Yellow 500g,https://naivas.onlinehttps://naivas.online/chipsy-plus-3-cooking-fat-pure-yellow-500g,195
6,Santa Maria Extra Virgin Olive Oil 250Ml,https://naivas.onlinehttps://naivas.online/santa-maria-extra-virgin-olive-oil-250ml,925
7,Santa Maria Extra Virgin Olive Oil 100Ml,https://naivas.onlinehttps://naivas.online/santa-maria-extra-virgin-olive-oil-100ml,440
8,Kasuku Pure White Cooking Fat Cholesterol Free 2Kg,https://naivas.onlinehttps://naivas.online/kasuku-pure-white-cooking-fat-cholesterol-free-2kg,845
9,Kimbo Cooking Vegetable Fat 2Kg,https://naivas.onlinehttps://naivas.online/kimbo-cooking-vegetable-fat-2kg,740
10,Kasuku Pure White Cooking Fat Cholesterol Free 1Kg,https://naivas.onlinehttps://naivas.online/kasuku-pure-white-cooking-fat-cholesterol-free-1kg,430
11,Tily Pure White Cooking Fat 1Kg,https://naivas.onlinehttps://naivas.online/tily-pure-white-cooking-fat-1kg,425
12,Kimbo Cooking Vegetable Fat 1Kg,https://naivas.onlinehttps://naivas.online/kimbo-cooking-vegetable-fat-1kg,380
13,Kasuku Pure White Cooking Fat Cholesterol Free 500g,https://naivas.onlinehttps://naivas.online/kasuku-pure-white-cooking-fat-cholesterol-free-500g,220
14,Tily Pure White Cooking Fat 500g,https://naivas.onlinehttps://naivas.online/tily-pure-white-cooking-fat-500g,215
15,Kimbo Cooking Vegetable Fat 500g,https://naivas.onlinehttps://naivas.online/kimbo-cooking-vegetable-fat-500g,195
16,Pep Tomato Sauce 1Kg,https://naivas.onlinehttps://naivas.online/pep-tomato-sauce-1kg,155
17,Ken Tomato Sauce 1Kg,https://naivas.onlinehttps://naivas.online/ken-tomato-sauce-1kg,205
18,American garden Tomato Ketchup 567g Squeezy,https://naivas.onlinehttps://naivas.online/american-garden-tomato-ketchup-567g-squeezy,639
19,Kapueti Tomato Ketchup 700g,https://naivas.onlinehttps://naivas.online/kapueti-tomato-ketchup-700g,225
