Date ,Close
7/29/2020 23:58,106.7
7/30/2020 23:58,106.75
7/31/2020 23:58,107.6
8/2/2020 23:58,106.75
8/3/2020 23:58,106.85
8/4/2020 23:58,106.1911
8/5/2020 23:58,106.8
8/6/2020 23:58,106.3592
8/7/2020 23:58,106.2954
8/8/2020 23:58,106.2954
8/9/2020 23:58,107
8/10/2020 23:58,107.1
8/11/2020 23:58,106.5965
8/12/2020 23:58,107.45
8/13/2020 23:58,107.31
8/14/2020 23:58,106.6591
8/16/2020 23:58,107.35
8/17/2020 23:58,107.31
8/18/2020 23:58,107.46
8/19/2020 23:58,107.51
8/20/2020 23:58,107.04
8/21/2020 23:58,106.3247
8/23/2020 23:58,107.02
8/24/2020 23:58,107.05
8/25/2020 23:58,107.07
8/26/2020 23:58,107.32
8/27/2020 23:58,107.2
8/28/2020 23:58,106.4545
8/30/2020 23:58,107.15
8/31/2020 23:58,107.21
9/1/2020 23:58,107.29
9/2/2020 23:58,107.28
9/3/2020 23:58,107.36
9/4/2020 23:58,106.7267
9/6/2020 23:58,107.4
9/7/2020 23:58,107.4
9/8/2020 23:58,107.4
9/9/2020 23:58,107.45
9/10/2020 23:58,107.45
9/11/2020 23:58,106.8496
9/13/2020 23:58,107.55
9/14/2020 23:58,107.6
9/15/2020 23:58,107.64
9/16/2020 23:58,107.35
9/17/2020 23:58,106.7094
9/18/2020 23:58,106.6581
9/20/2020 23:58,107.35
9/21/2020 23:58,107.35
9/22/2020 23:58,107.39
9/23/2020 23:58,107.39
9/24/2020 23:58,107.51
9/25/2020 23:58,106.7876
9/27/2020 23:58,107.5
9/28/2020 23:58,107.51
9/29/2020 23:58,106.8001
9/30/2020 23:58,107.48
10/1/2020 23:58,107.44
10/2/2020 23:58,106.776
10/4/2020 23:58,107.5
10/5/2020 23:58,107.51
10/6/2020 23:58,107.6
10/7/2020 23:58,107.49
10/8/2020 23:58,106.9042
10/9/2020 23:58,106.8647
10/11/2020 23:58,107.6
10/12/2020 23:58,107.49
10/13/2020 23:58,107.65
10/14/2020 23:58,107.48
10/15/2020 23:58,107.64
10/16/2020 23:58,106.9398
10/18/2020 23:58,107.65
10/19/2020 23:58,107.76
10/20/2020 23:58,107.75
10/21/2020 23:58,107.69
10/22/2020 23:58,107.83
10/23/2020 23:58,107.1618
10/26/2020 23:58,107.85
10/27/2020 23:58,107.0998
10/28/2020 23:58,107.79
10/29/2020 23:58,107.8
10/30/2020 23:58,107.68
11/2/2020 23:58,107.85
11/3/2020 23:58,107.1517
11/4/2020 23:58,107.91
